node_id,value_eur_m,derivation,source_id,source_url,period,confidence,notes
gdp_gov_exp_general_public_services_GF0106_general_public_services_nec_p51g_eur_m,19.9,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0106 - P51G)
gdp_gov_exp_general_public_services_GF0107_public_debt_transactions_p51g_eur_m,0.0,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0107 - P51G)
gdp_gov_exp_general_public_services_GF0108_transfers_of_a_general_charact_p51g_eur_m,0.0,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0108 - P51G)
gdp_gov_exp_general_public_services_other_p51g_eur_m,-0.1,gdp_gov_exp_general_public_services_p51g_eur_m - sum(subs),SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,Residual (P51G)
gdp_gov_exp_defence_p51g_eur_m,394.5,sum(mapped_subs),SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF02 - P51G)
gdp_gov_exp_defence_GF0201_military_defence_p51g_eur_m,374.9,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0201 - P51G)
gdp_gov_exp_defence_GF0202_civil_defence_p51g_eur_m,0.0,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0202 - P51G)
gdp_gov_exp_defence_GF0203_foreign_military_aid_p51g_eur_m,2.5,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0203 - P51G)
gdp_gov_exp_defence_GF0204_randd_defence_p51g_eur_m,8.8,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0204 - P51G)
gdp_gov_exp_defence_GF0205_defence_nec_p51g_eur_m,8.4,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0205 - P51G)
