"source_row_number","sto_code","cust_breakdown","row_type","tax_name_pt","tax_name_en","economic_function","at_ep_tax_flag","value_2023_raw","value_2023_eur_m","is_missing_2023"
"130","D29H","C10","leaf","Taxas de comercialização e regulação do INFARMED","Fees collected by the National Authority of Medicines and Health Products","KS","_Z","68.47","68.47","no"
"131","D29H","C11","leaf","Taxa de regulação do setor da construção e do imobiliário","Regulatory fee on construction and real estate industries","KS","_Z","20.59","20.59","no"
"132","D29H","C12","leaf","Taxa sobre as entidades que prosseguem actividades no âmbito da comunicação social","Fee on entities that pursue activities within the media","KS","_Z","1.64","1.64","no"
"133","D29H","C13","leaf","Comparticipação sobre inspeções e reinspeções de veículos e sobre exames de condução","Fee on inspections and reinspections of vehicles and on driving exams","KS","_Z","28.32","28.32","no"
"135","D29H","C15","leaf","Contribuição de solidariedade temporária sobre o setor da distribuição alimentar","Temporary solidarity contribution on food distribution industry","KS","_Z","4.85","4.85","no"
"136","D29H","C16","leaf","Contribuição das empresas de seguro relativa ao capital de remição das pensões em pagamento","Pension redemption fee on insurance companies","KS","O","9.73","9.73","no"
"137","D29H","C17","leaf","Contribuições para o Fundo de Garantia de Depósitos e de Garantia do Crédito Agrícola Mútuo","Contributions for the Deposit Guarantee Fund and for the Mutual Agricultural Credit Guarantee Fund","KS","O","2.67","2.67","no"
"138","D29H","C18","leaf","Contribuição sobre o sector bancário","Contribution on banking industry","KS","O","253.96","253.96","no"
"139","D29H","C19","leaf","Contribuições para o Fundo de Resolução","Contributions for the Resolution Fund","KS","O","161.16","161.16","no"
"140","D29H","C20","leaf","Contribuição para o Fundo de Garantia de Viagens e Turismo","Contributions for the Travel and Tourism Guarantee Fund","KS","_Z","1.28","1.28","no"
"141","D29H","C21","leaf","Contribuição para o sistema de indemnização aos investidores","Contributions for the investor compensation scheme","KS","_Z","0.18","0.18","no"
"142","D29H","C22","leaf","Taxa de regulação e supervisão do Sistema Petrolífero Nacional","Regulation and supervision fee of the national petroleum system","KS","E","0.99","0.99","no"
"143","D5","_T","aggregate","IMPOSTOS CORRENTES SOBRE O RENDIMENTO, PATRIMÓNIO, ETC.","Current taxes on income wealth, etc.","_Z","_Z","28461.74","28461.74","no"
"144","D51","_T","aggregate","Impostos sobre o rendimento","Taxes on income","_Z","_Z","27705.36","27705.36","no"
"145","D51M","_T","aggregate","Impostos sobre o rendimento de pessoas singulares ou famílias incluindo os ganhos de detenção","Taxes on individual or household income including holding gains","_Z","_Z","18502.48","18502.48","no"
"146","D51A","_T","aggregate","Impostos sobre o rendimento das pessoas singulares ou das famílias","Taxes on individual or household income excluding holding gains","_Z","_Z","18502.48","18502.48","no"
"147","D51A","C01","leaf","Imposto sobre o rendimento das pessoas singulares (IRS)","Individual income tax","SPLIT1","_Z","18502.48","18502.48","no"
"150","D51O","_T","aggregate","Impostos sobre o rendimento ou lucros das sociedades, incluindo ganhos de detenção","Taxes on the income or profits of corporations including holding gains","_Z","_Z","9202.88","9202.88","no"
"151","D51B","_T","aggregate","Impostos sobre o rendimento ou lucro das sociedades excluindo ganhos de detenção","Taxes on the income or profits of corporations excluding holding gains","_Z","_Z","9202.88","9202.88","no"
"152","D51B","C01","leaf","Imposto sobre o rendimento das pessoas colectivas (IRC)","Corporate income tax - Central Government","KIC","_Z","8782.34","8782.34","no"
"153","D51B","C02","leaf","Derrama","Corporate income tax - Local Government","KIC","_Z","420.55","420.55","no"
"164","D59","_T","aggregate","Outros impostos correntes","Other current taxes","_Z","_Z","756.39","756.39","no"
"167","D59B","_T","aggregate","Impostos de capitação","Poll taxes","_Z","_Z","126.40","126.4","no"
"168","D59B","C01","leaf","Taxa municipal turística","Municipal tax on tourists","C","_Z","70.36","70.36","no"
"169","D59B","C02","leaf","Taxa de carbono sobre as viagens aéreas e marítimas","Carbon tax on air and sea travel","C","P/RS","56.03","56.03","no"
"171","D59D","_T","aggregate","Licenças pagas pelas famílias","Payments by households for licences","_Z","_Z","293.03","293.03","no"
"172","D59D","C01","leaf","Imposto de uso, porte e detenção de armas","Tax on the use, carrying and possession of firearms","KS","_Z","6.15","6.15","no"
"173","D59D","C02","leaf","Licenças de caça e pesca","Hunting and fishery licenses","KS","P/RS","13.55","13.55","no"
"175","D59D","C04","leaf","Imposto único de circulação (IUC)","Unified circulation tax","KS","T","273.32","273.32","no"
"176","D59D","C05","leaf","Taxa sobre o serviço da Banda do Cidadão e sobre o serviço amador e amador satélite","Fee for registry of users of the Citizen Band and for services related to amateur and amateur-satellite communications","KS","_Z","0.01","0.01","no"
"178","D59F","_T","aggregate","Outros impostos correntes não especificados","Other current taxes n.e.c.","_Z","_Z","336.96","336.96","no"
"179","D59F","C01","leaf","Contribuição para o audiovisual","Fee to support the public broadcasting service","KS","_Z","191.22","191.22","no"
"180","D59F","C02","leaf","Imposto do selo sobre juros bancários","Stamp duty on interests","KS","_Z","135.88","135.88","no"
"181","D59F","C03","leaf","Outros impostos diretos","Other miscellaneous current taxes","KS","_Z","0.20","0.2","no"
"182","D59F","C04","leaf","Taxa de recursos hídricos","Fee for the use of water resources","C","P/RS","9.16","9.16","no"
"183","D59F","C05","leaf","Licença Especial de Ruído","Tax on noise","C","P/RS","0.51","0.51","no"
"184","D91","_T","aggregate","Impostos de capital","Capital taxes","_Z","_Z","0.13","0.13","no"
"185","D91A","_T","aggregate","Impostos sobre as transferências de capital","Taxes on capital transfers","_Z","_Z","0.13","0.13","no"
"186","D91A","C01","leaf","Imposto sobre as sucessões e doações","Inheritance tax","KS","O","0.13","0.13","no"
"191","D61","_T","aggregate","Contribuições sociais líquidas","Net social contributions","_Z","_Z","32838.48","32838.48","no"
"192","D611","_T","aggregate","Contribuições sociais efetivas dos empregadores","Employers' actual social contributions","LEYRS","_Z","17184.40","17184.4","no"
"193","D611C","_T","aggregate","Contribuições sociais efetivas obrigatórias dos empregadores","Compulsory employers' actual social contributions","_Z","_Z","17184.40","17184.4","no"
"196","D6111","_T","aggregate","Contribuições efetivas dos empregadores para pensões","Employers' actual pension contributions","_Z","_Z","17184.40","17184.4","no"
"197","D6111","C01","leaf","Contribuições efetivas dos empregadores para pensões","Employers' actual pension contributions","_Z","_Z","17184.40","17184.4","no"
"199","D612","_T","aggregate","Contribuições sociais imputadas dos empregadores","Employers' imputed social contributions","_Z","_Z","5092.55","5092.55","no"
"200","D612","C01","leaf","Contribuições sociais imputadas dos empregadores","Employers' imputed social contributions","_Z","_Z","5092.55","5092.55","no"
"201","D6121","_T","aggregate","Contribuições imputadas dos empregadores para pensões","Employers' imputed pension contributions","_Z","_Z","3676.59","3676.59","no"
"202","D6121","C01","leaf","Contribuições imputadas dos empregadores para pensões","Employers' imputed pension contributions","_Z","_Z","3676.59","3676.59","no"
"203","D6122","_T","aggregate","Contribuições imputadas dos empregadores, excepto pensões","Employers' imputed non-pension contributions","_Z","_Z","1415.96","1415.96","no"
"204","D6122","C01","leaf","Contribuições imputadas dos empregadores, excepto pensões","Employers' imputed non-pension contributions","_Z","_Z","1415.96","1415.96","no"
"205","D613","_T","aggregate","Contribuiçoes sociais efetivas das familias","Households' actual social contributions","_Z","_Z","10561.53","10561.53","no"
"206","D613","C01","leaf","Contribuiçoes sociais efetivas das familias","Households' actual social contributions","_Z","_Z","10561.53","10561.53","no"
"207","D6131","_T","aggregate","Contribuições efetivas das familias para pensões","Households' actual pension contributions","_Z","_Z","9712.28","9712.28","no"
"208","D6131","C01","leaf","Contribuições efetivas das familias para pensões","Households' actual pension contributions","_Z","_Z","9712.28","9712.28","no"
"209","D6132","_T","aggregate","Contribuiçoes efetivas das familias, excepto para pensões","Households' actual non-pension contributions","_Z","_Z","849.24","849.24","no"
"210","D6132","C01","leaf","Contribuiçoes efetivas das familias, excepto para pensões","Households' actual non-pension contributions","_Z","_Z","849.24","849.24","no"
"211","D613C","_T","aggregate","Contribuições sociais efetivas obrigatórias das famílias","Compulsory households' actual social contributions","_Z","_Z","10541.35","10541.35","no"
"212","D613CE","_T","aggregate","Contribuições sociais efetivas obrigatórias dos empregados","Compulsory employees' actual social contributions","_Z","_Z","9931.53","9931.53","no"
"214","D613CS","_T","aggregate","Contribuições sociais efetivas obrigatórias dos trabalhadores por conta própria","Compulsory actual social contributions by the self-employed","KISE","_Z","609.82","609.82","no"
"216","D613V","_T","aggregate","Contribuições sociais efetivas voluntárias das famílias","Voluntary households' actual social contributions","_Z","_Z","20.18","20.18","no"
